variant,class_name,count,mean_confidence,max_confidence
3Region_Edge12,airplane,1,0.8533713817596436,0.8533713817596436
3Region_Edge12,bear,1,0.5316035747528076,0.5316035747528076
3Region_Edge12,bottle,1,0.9045261144638062,0.9045261144638062
3Region_Edge12,car,1,0.4731135666370392,0.4731135666370392
3Region_Edge12,chair,1,0.3852030336856842,0.3852030336856842
3Region_Edge12,elephant,1,0.581041157245636,0.581041157245636
3Region_Edge12,keyboard,1,0.6316350698471069,0.6316350698471069
3Region_Edge12,parking meter,1,0.6570854187011719,0.6570854187011719
3Region_Edge12,pizza,1,0.6840583682060242,0.6840583682060242
3Region_Edge12,remote,1,0.9089222550392151,0.9089222550392151
3Region_Edge12,surfboard,1,0.5829452872276306,0.5829452872276306
3Region_Edge12,teddy bear,1,0.9188694357872009,0.9188694357872009
3Region_Edge12,tennis racket,1,0.8806519508361816,0.8806519508361816
3Region_Edge12,truck,1,0.8974871635437012,0.8974871635437012
3Region_Thr1035,person,16,0.6766005717217922,0.9319697022438049
3Region_Thr1035,bird,7,0.5474272583212171,0.921807050704956
3Region_Thr1035,tie,5,0.5401521921157837,0.8518201112747192
3Region_Thr1035,wine glass,4,0.60580263286829,0.85678631067276
3Region_Thr1035,cow,3,0.8648416996002197,0.8857554197311401
3Region_Thr1035,dining table,3,0.48568610350290936,0.7451621294021606
3Region_Thr1035,sports ball,3,0.6450292964776357,0.8003211617469788
3Region_Thr1035,baseball bat,2,0.5134226977825165,0.7162694334983826
3Region_Thr1035,broccoli,2,0.5268458873033524,0.6925588250160217
3Region_Thr1035,dog,2,0.8610810935497284,0.8723421692848206
3Region_Thr1035,frisbee,2,0.43353424966335297,0.4875696301460266
3Region_Thr1035,motorcycle,2,0.6764109432697296,0.8344188332557678
3Region_Thr1035,train,2,0.7522216439247131,0.9136438965797424
3Region_Thr1035,airplane,1,0.8748493194580078,0.8748493194580078
3Region_Thr1035,bear,1,0.45572522282600403,0.45572522282600403
3Region_Thr1035,bottle,1,0.9338008165359497,0.9338008165359497
3Region_Thr1035,car,1,0.43920454382896423,0.43920454382896423
3Region_Thr1035,chair,1,0.3603767156600952,0.3603767156600952
3Region_Thr1035,elephant,1,0.5149148106575012,0.5149148106575012
3Region_Thr1035,keyboard,1,0.6068965792655945,0.6068965792655945
3Region_Thr1035,parking meter,1,0.6979761123657227,0.6979761123657227
3Region_Thr1035,pizza,1,0.7148716449737549,0.7148716449737549
3Region_Thr1035,remote,1,0.9315542578697205,0.9315542578697205
3Region_Thr1035,surfboard,1,0.4102771580219269,0.4102771580219269
3Region_Thr1035,teddy bear,1,0.9172278046607971,0.9172278046607971
3Region_Thr1035,tennis racket,1,0.8786782622337341,0.8786782622337341
3Region_Thr1035,truck,1,0.8992070555686951,0.8992070555686951
3Region_Thr2055_Edge12,person,15,0.7046854376792908,0.9344305396080017
3Region_Thr2055_Edge12,bird,7,0.5662892758846283,0.9170502424240112
3Region_Thr2055_Edge12,tie,5,0.5013641476631164,0.8455449342727661
3Region_Thr2055_Edge12,wine glass,4,0.6216728314757347,0.8540765047073364
3Region_Thr2055_Edge12,cow,3,0.8590888778368632,0.8842878341674805
3Region_Thr2055_Edge12,dining table,3,0.45161788662274677,0.6959941983222961
3Region_Thr2055_Edge12,sports ball,3,0.6751705408096313,0.8084179759025574
3Region_Thr2055_Edge12,baseball bat,2,0.5394572913646698,0.7396210432052612
3Region_Thr2055_Edge12,broccoli,2,0.5171695798635483,0.6809842586517334
3Region_Thr2055_Edge12,dog,2,0.8397538363933563,0.8398255705833435
3Region_Thr2055_Edge12,motorcycle,2,0.650244802236557,0.825096070766449
3Region_Thr2055_Edge12,train,2,0.700729563832283,0.9082106947898865
3Region_Thr2055_Edge12,airplane,1,0.854561984539032,0.854561984539032
3Region_Thr2055_Edge12,bear,1,0.5528081059455872,0.5528081059455872
