variant,category_id,class_name,num_gt,num_predictions,AP50,precision,recall
SRCNN_x4_Adaptive,81,sink,6,2,0.3333333432674408,1.0,0.3333333432674408
SRCNN_x4_Adaptive,82,refrigerator,3,2,0.6666666865348816,1.0,0.6666666865348816
SRCNN_x4_Adaptive,84,book,15,1,0.0,0.0,0.0
SRCNN_x4_Adaptive,85,clock,6,1,0.1666666716337204,1.0,0.1666666716337204
SRCNN_x4_Adaptive,86,vase,7,0,0.0,0.0,0.0
SRCNN_x4_Adaptive,87,scissors,2,1,0.0,0.0,0.0
SRCNN_x4_Adaptive,88,teddy bear,3,3,0.5555555787351398,0.6666666865348816,0.6666666865348816
3Region_Base,1,person,283,194,0.5221576502951866,0.8092783689498901,0.554770290851593
3Region_Base,2,bicycle,5,0,0.0,0.0,0.0
3Region_Base,3,car,21,11,0.2857142947614193,0.6363636255264282,0.3333333432674408
3Region_Base,4,motorcycle,3,2,0.3333333432674408,0.5,0.3333333432674408
3Region_Base,5,airplane,4,3,0.75,1.0,0.75
3Region_Base,6,bus,6,5,0.8333333134651184,1.0,0.8333333134651184
3Region_Base,7,train,2,2,0.5,0.5,0.5
3Region_Base,8,truck,8,3,0.125,0.3333333432674408,0.125
3Region_Base,9,boat,7,0,0.0,0.0,0.0
3Region_Base,10,traffic light,7,7,0.3571428656578064,0.4285714328289032,0.4285714328289032
3Region_Base,11,fire hydrant,2,1,0.5,1.0,0.5
3Region_Base,13,stop sign,2,1,0.5,1.0,0.5
3Region_Base,15,bench,2,0,0.0,0.0,0.0
3Region_Base,16,bird,4,3,0.3333333432674408,0.6666666865348816,0.5
3Region_Base,17,cat,2,1,0.5,1.0,0.5
3Region_Base,18,dog,1,3,0.0,0.0,0.0
3Region_Base,19,horse,2,2,1.0,1.0,1.0
3Region_Base,20,sheep,6,6,0.8055555389987106,0.8333333134651184,0.8333333134651184
3Region_Base,22,elephant,6,7,0.5333333571751915,0.5714285969734192,0.6666666865348816
3Region_Base,23,bear,1,1,1.0,1.0,1.0
3Region_Base,24,zebra,2,2,1.0,1.0,1.0
3Region_Base,27,backpack,9,2,0.0,0.0,0.0
3Region_Base,28,umbrella,2,3,1.0,0.6666666865348816,1.0
3Region_Base,31,handbag,5,3,0.20000000298023224,0.3333333432674408,0.20000000298023224
3Region_Base,32,tie,19,6,0.2543859719707253,0.8333333134651184,0.2631579041481018
3Region_Base,33,suitcase,2,3,0.0,0.0,0.0
3Region_Base,34,frisbee,3,3,1.0,1.0,1.0
3Region_Base,35,skis,5,3,0.20000000298023224,0.3333333432674408,0.20000000298023224
3Region_Base,37,sports ball,1,2,0.0,0.0,0.0
3Region_Base,38,kite,3,2,0.6666666865348816,1.0,0.6666666865348816
3Region_Base,39,baseball bat,2,3,0.6666666865348816,0.6666666865348816,1.0
3Region_Base,40,baseball glove,2,2,0.5,0.5,0.5
3Region_Base,41,skateboard,2,2,0.5,0.5,0.5
3Region_Base,42,surfboard,7,1,0.1428571492433548,1.0,0.1428571492433548
3Region_Base,43,tennis racket,3,1,0.3333333432674408,1.0,0.3333333432674408
3Region_Base,44,bottle,17,4,0.1764705926179886,0.75,0.1764705926179886
3Region_Base,46,wine glass,24,3,0.125,1.0,0.125
3Region_Base,47,cup,24,11,0.16550925960419338,0.4545454680919647,0.2083333283662796
3Region_Base,48,fork,4,1,0.0,0.0,0.0
3Region_Base,49,knife,10,1,0.10000000149011612,1.0,0.10000000149011612
3Region_Base,50,spoon,7,1,0.1428571492433548,1.0,0.1428571492433548
3Region_Base,51,bowl,15,14,0.22846562054106823,0.4285714328289032,0.4000000059604645
3Region_Base,52,banana,8,9,0.5642857179045677,0.5555555820465088,0.625
3Region_Base,53,apple,2,5,0.1666666716337204,0.20000000298023224,0.5
3Region_Base,54,sandwich,1,0,0.0,0.0,0.0
3Region_Base,55,orange,1,2,0.0,0.0,0.0
3Region_Base,56,broccoli,15,5,0.20000000298023224,0.6000000238418579,0.20000000298023224
3Region_Base,57,carrot,6,0,0.0,0.0,0.0
3Region_Base,59,pizza,6,6,0.8333333134651184,0.8333333134651184,0.8333333134651184
3Region_Base,60,donut,1,0,0.0,0.0,0.0
3Region_Base,61,cake,1,1,0.0,0.0,0.0
3Region_Base,62,chair,17,7,0.27731093438733545,0.7142857313156128,0.29411765933036804
3Region_Base,63,couch,2,1,0.5,1.0,0.5
3Region_Base,64,potted plant,3,3,0.5555555787351398,0.6666666865348816,0.6666666865348816
3Region_Base,65,bed,5,3,0.6000000238418579,1.0,0.6000000238418579
3Region_Base,67,dining table,12,10,0.35185185129995666,0.5,0.4166666567325592
3Region_Base,70,toilet,3,4,0.8333333358168602,0.75,1.0
3Region_Base,72,tv,10,8,0.6000000238418579,0.75,0.6000000238418579
3Region_Base,73,laptop,7,9,0.41666668688967157,0.4444444477558136,0.5714285969734192
3Region_Base,74,mouse,4,2,0.5,1.0,0.5
3Region_Base,75,remote,3,0,0.0,0.0,0.0
3Region_Base,76,keyboard,9,1,0.1111111119389534,1.0,0.1111111119389534
3Region_Base,77,cell phone,5,3,0.20000000298023224,0.3333333432674408,0.20000000298023224
3Region_Base,78,microwave,2,1,0.0,0.0,0.0
3Region_Base,79,oven,2,1,0.5,1.0,0.5
3Region_Base,81,sink,6,1,0.1666666716337204,1.0,0.1666666716337204
3Region_Base,82,refrigerator,3,2,0.6666666865348816,1.0,0.6666666865348816
3Region_Base,84,book,15,1,0.0,0.0,0.0
3Region_Base,85,clock,6,0,0.0,0.0,0.0
3Region_Base,86,vase,7,0,0.0,0.0,0.0
3Region_Base,87,scissors,2,1,0.0,0.0,0.0
3Region_Base,88,teddy bear,3,2,0.6666666865348816,1.0,0.6666666865348816
3Region_Edge12,1,person,283,197,0.5267762836016043,0.807106614112854,0.5618374347686768
3Region_Edge12,2,bicycle,5,0,0.0,0.0,0.0
3Region_Edge12,3,car,21,13,0.3690476267110734,0.692307710647583,0.4285714328289032
3Region_Edge12,4,motorcycle,3,2,0.3333333432674408,0.5,0.3333333432674408
3Region_Edge12,5,airplane,4,3,0.75,1.0,0.75
3Region_Edge12,6,bus,6,5,0.8333333134651184,1.0,0.8333333134651184
3Region_Edge12,7,train,2,1,0.5,1.0,0.5
3Region_Edge12,8,truck,8,3,0.125,0.3333333432674408,0.125
3Region_Edge12,9,boat,7,0,0.0,0.0,0.0
3Region_Edge12,10,traffic light,7,7,0.3928571492433548,0.4285714328289032,0.4285714328289032
3Region_Edge12,11,fire hydrant,2,1,0.5,1.0,0.5
3Region_Edge12,13,stop sign,2,1,0.5,1.0,0.5
3Region_Edge12,15,bench,2,0,0.0,0.0,0.0
3Region_Edge12,16,bird,4,3,0.3333333432674408,0.6666666865348816,0.5
3Region_Edge12,17,cat,2,1,0.5,1.0,0.5
3Region_Edge12,18,dog,1,3,0.0,0.0,0.0
3Region_Edge12,19,horse,2,2,1.0,1.0,1.0
3Region_Edge12,20,sheep,6,6,0.8055555389987106,0.8333333134651184,0.8333333134651184
3Region_Edge12,22,elephant,6,7,0.5333333571751915,0.5714285969734192,0.6666666865348816
3Region_Edge12,23,bear,1,1,1.0,1.0,1.0
