image,model,psnr,ssim,edge_mae,lpips,checkpoint
zebra,3Region_Thr,23.851987885284363,0.959108829498291,0.08807726098137568,0.31384819746017456,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
zebra,3Region_Edge12,23.817357926235356,0.9589083194732666,0.08792251315232195,0.31899338960647583,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
zebra,3Region_Thr1035,23.91290630121608,0.9597048759460449,0.08857115428666733,0.30968689918518066,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
zebra,3Region_Thr2055_Edge12,23.79219399122739,0.9588111042976379,0.0885391904418848,0.322725772857666,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
baby,Bicubic,30.445855889625143,0.9941879510879517,0.03211302366020943,0.30310899019241333,none
baby,SRCNN_x4_V4,31.153289627113814,0.9951000213623047,0.030706754853246206,0.22433289885520935,./srcnn_v4/srcnn_x4.pth
baby,Weighted_Loss,31.15622576599066,0.9951047301292419,0.03052871469014522,0.22552168369293213,./srcnn_adaptive/srcnn_x4_adaptive.pth
baby,3Region_Thr,31.059780192557174,0.9950137138366699,0.030730591585712168,0.24214425683021545,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
baby,3Region_Edge12,31.053012875771252,0.9950107932090759,0.03192302139375168,0.2458278387784958,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
baby,3Region_Thr1035,31.11829201164595,0.9950801730155945,0.0311075181185409,0.23917163908481598,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
baby,3Region_Thr2055_Edge12,30.989221043186802,0.9949370622634888,0.03319714941546209,0.24719169735908508,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
bird,Bicubic,28.854164253675222,0.9822079539299011,0.06500608986333398,0.23594538867473602,none
bird,SRCNN_x4_V4,29.725407125990245,0.9857909083366394,0.05915707177376591,0.16038206219673157,./srcnn_v4/srcnn_x4.pth
bird,Weighted_Loss,29.767138037795362,0.9859529137611389,0.058357559480678146,0.15852868556976318,./srcnn_adaptive/srcnn_x4_adaptive.pth
bird,3Region_Thr,29.552498214423146,0.9853590726852417,0.05600593469798496,0.16797389090061188,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
bird,3Region_Edge12,29.50803995362981,0.9852431416511536,0.0558920851831403,0.16994604468345642,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
bird,3Region_Thr1035,29.681879927859768,0.9857689142227173,0.055916406268830744,0.1666940450668335,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
bird,3Region_Thr2055_Edge12,29.474086271769675,0.9851688742637634,0.05647982808093605,0.172862708568573,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
butterfly,Bicubic,20.77862073816259,0.925805389881134,0.13449429341459504,0.3733707070350647,none
butterfly,SRCNN_x4_V4,21.91457177189188,0.946989893913269,0.11692062397498026,0.2415216863155365,./srcnn_v4/srcnn_x4.pth
butterfly,Weighted_Loss,21.964048084169526,0.9478641748428345,0.11583618874543751,0.24026897549629211,./srcnn_adaptive/srcnn_x4_adaptive.pth
butterfly,3Region_Thr,21.76648194256909,0.9483460187911987,0.11030583881680354,0.26930928230285645,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
butterfly,3Region_Edge12,21.706892351375945,0.9478172063827515,0.11034141104755475,0.2719895839691162,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
butterfly,3Region_Thr1035,21.93907764902306,0.9497677087783813,0.1103693486153756,0.258820116519928,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
butterfly,3Region_Thr2055_Edge12,21.578993802707437,0.9465872645378113,0.1108004662298387,0.2767001986503601,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
head,Bicubic,30.30465277230935,0.9918960928916931,0.03411903787166514,0.4205057621002197,none
head,SRCNN_x4_V4,30.635611940407532,0.992537260055542,0.03165609616759821,0.3452000319957733,./srcnn_v4/srcnn_x4.pth
head,Weighted_Loss,30.641998701989046,0.9925464391708374,0.031584979794549606,0.3457474708557129,./srcnn_adaptive/srcnn_x4_adaptive.pth
head,3Region_Thr,30.635831714542043,0.9925395846366882,0.03137619951938061,0.36012664437294006,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
head,3Region_Edge12,30.622668121748884,0.9925314784049988,0.03130512372821781,0.36442115902900696,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
head,3Region_Thr1035,30.682657817630684,0.9926183223724365,0.03111327962672457,0.3553391993045807,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
head,3Region_Thr2055_Edge12,30.59064114540412,0.9924795627593994,0.03181599556131566,0.36829718947410583,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
woman,Bicubic,25.13665362398218,0.9806762933731079,0.09478282118776532,0.365544855594635,none
woman,SRCNN_x4_V4,26.060110495292857,0.9847078919410706,0.08374599655337243,0.2588273286819458,./srcnn_v4/srcnn_x4.pth
woman,Weighted_Loss,26.10783396163543,0.9848765730857849,0.08289253513678364,0.2584017515182495,./srcnn_adaptive/srcnn_x4_adaptive.pth
woman,3Region_Thr,25.948331202783535,0.9844684600830078,0.07839815429146768,0.27488020062446594,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region.pth
woman,3Region_Edge12,25.922272918694688,0.9844226241111755,0.0781599053952825,0.2769399881362915,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_ponderi.pth
woman,3Region_Thr1035,26.040265221563516,0.9847649931907654,0.07890380656600395,0.2707008719444275,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr1035.pth
woman,3Region_Thr2055_Edge12,25.87852635636561,0.9842942357063293,0.0783566756193908,0.27928459644317627,./srcnn_adaptive_3region/srcnn_x4_adaptive_3region_thr2055_edge12.pth
