variant,category_id,class_name,num_gt,num_predictions,AP50,precision,recall
DetectionAware_Thr1035_Beta15,5,airplane,5,1,0.20000000298023224,1.0,0.20000000298023224
DetectionAware_Thr1035_Beta15,6,bus,31,13,0.3449131416771607,0.8461538553237915,0.35483869910240173
DetectionAware_Thr1035_Beta15,7,train,4,1,0.25,1.0,0.25
DetectionAware_Thr1035_Beta15,8,truck,38,13,0.18872180625908364,0.6153846383094788,0.21052631735801697
DetectionAware_Thr1035_Beta15,9,boat,34,8,0.11554622397750247,0.625,0.14705882966518402
DetectionAware_Thr1035_Beta15,10,traffic light,50,33,0.31781522339273494,0.5454545617103577,0.36000001430511475
DetectionAware_Thr1035_Beta15,11,fire hydrant,2,2,0.5,0.5,0.5
DetectionAware_Thr1035_Beta15,13,stop sign,2,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,14,parking meter,2,2,1.0,1.0,1.0
DetectionAware_Thr1035_Beta15,15,bench,14,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,16,bird,55,4,0.05454545468091965,0.75,0.05454545468091965
DetectionAware_Thr1035_Beta15,18,dog,5,2,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,19,horse,4,1,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,20,sheep,32,9,0.06041666865348816,0.3333333432674408,0.09375
DetectionAware_Thr1035_Beta15,21,cow,33,23,0.24891397376327884,0.43478259444236755,0.3030303120613098
DetectionAware_Thr1035_Beta15,22,elephant,4,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,24,zebra,4,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,25,giraffe,2,1,0.5,1.0,0.5
DetectionAware_Thr1035_Beta15,27,backpack,28,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,28,umbrella,25,15,0.30532468224016895,0.6666666865348816,0.4000000059604645
DetectionAware_Thr1035_Beta15,31,handbag,19,3,0.05263157933950424,0.3333333432674408,0.05263157933950424
DetectionAware_Thr1035_Beta15,32,tie,7,3,0.2857142984867096,0.6666666865348816,0.2857142984867096
DetectionAware_Thr1035_Beta15,33,suitcase,13,7,0.07692307978868484,0.2857142984867096,0.1538461595773697
DetectionAware_Thr1035_Beta15,35,skis,2,0,0.0,0.0,0.0
DetectionAware_Thr1035_Beta15,37,sports ball,7,2,0.2857142984867096,1.0,0.2857142984867096
DetectionAware_Thr1035_Beta15,38,kite,17,6,0.23529411852359772,0.6666666865348816,0.23529411852359772
